fips,lgbm_mae,lgbm_rmse,lgbm_wape,actual,predicted,county_name,stateabbr,risk_tier,prophet_mae,prophet_rmse,prophet_wape,winner,wape_diff
01075,0.005096180044806609,0.005096180044806609,0.008613652140950301,0.5916398713826366,0.58654369133783,Lamar,AL,High,0.0350342684497478,0.0350342684497478,0.059215529825389,LightGBM,0.050601877684438704
01077,0.006277478691149585,0.006277478691149585,0.015744321556028396,0.3987138263665595,0.3924363476754099,Lauderdale,AL,Moderate,0.0105460108120845,0.0105460108120845,0.0264500755045024,LightGBM,0.010705753948474006
01079,0.00021483739267480484,0.00021483739267480484,0.0004175901820116519,0.5144694533762058,0.514254615983531,Lawrence,AL,High,0.0147608772747338,0.0147608772747338,0.0286914552027639,LightGBM,0.02827386502075225
01081,0.024619054964949705,0.024619054964949705,0.07362044321249384,0.33440514469453375,0.30978608972958405,Lee,AL,Moderate,0.0148848702462485,0.0148848702462485,0.0445114869863777,Prophet,-0.029108956226116138
01083,0.010440433498653923,0.010440433498653923,0.029517952891648824,0.3536977491961414,0.34325731569748746,Limestone,AL,Moderate,0.0100878223722865,0.0100878223722865,0.0285210250707374,Prophet,-0.0009969278209114238
01085,0.016219958976095628,0.016219958976095628,0.018963936998367445,0.8553054662379421,0.8390855072618465,Lowndes,AL,Critical,0.0068065383726221,0.0068065383726221,0.0079580204281409,Prophet,-0.011005916570226546
01087,0.0016343075909481808,0.0016343075909481808,0.0025037914324378538,0.652733118971061,0.6510988113801128,Macon,AL,High,0.0191775440430442,0.0191775440430442,0.029380375356585,LightGBM,0.026876583924147147
01089,0.011354111479053353,0.011354111479053353,0.035311286699855934,0.32154340836012857,0.3101892968810752,Madison,AL,Moderate,0.0024015936204455,0.0024015936204455,0.0074689561595855,Prophet,-0.027842330540270434
01091,0.0008498836149450906,0.0008498836149450906,0.001264659350468532,0.6720257234726688,0.6728756070876138,Marengo,AL,High,0.0061432724889058,0.0061432724889058,0.0091414246126781,LightGBM,0.007876765262209567
01093,0.0015231408074911634,0.0015231408074911634,0.002786451712527952,0.5466237942122186,0.5451006534047275,Marion,AL,High,0.0097770608149506,0.0097770608149506,0.0178862700791156,LightGBM,0.015099818366587647
01095,0.010203466622370372,0.010203466622370372,0.022036653608036014,0.4630225080385852,0.4528190414162148,Marshall,AL,Moderate,0.0050947136719162,0.0050947136719162,0.0110031663330968,Prophet,-0.011033487274939214
01097,0.002793359295076625,0.002793359295076625,0.005604740263024712,0.4983922829581994,0.49559892366312275,Mobile,AL,Moderate,0.0077536733257909,0.0077536733257909,0.0155573703504578,LightGBM,0.009952630087433089
